Campaign,Ad Group,Keyword,Match Type,Status
Apex | Burst | Brand | AU,Brand Core,apex metabolic health,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,exhausted all the time man,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,low libido men,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,low libido men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,low sex drive male,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,low sex drive male,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,lost my sex drive man,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,lost my sex drive man,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,low drive and motivation men,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,low drive and motivation men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,libido problems men australia,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Libido & Drive,libido problems men australia,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,brain fog men,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,brain fog men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,poor recovery training men,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,poor recovery training men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,cant recover from workouts,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,cant recover from workouts,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,brain fog and fatigue male,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,brain fog and fatigue male,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,losing muscle men over 40,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,losing muscle men over 40,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,weight gain men over 40,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,weight gain men over 40,Phrase,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,poor sleep and fatigue men,Exact,Enabled
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,poor sleep and fatigue men,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,mens hormone clinic,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,mens hormone clinic,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,hormone clinic australia,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,hormone clinic australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,testosterone clinic,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,testosterone clinic,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,trt clinic,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,trt clinic,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,trt australia,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,trt australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,online hormone doctor,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,online hormone doctor,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,mens health clinic online,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,mens health clinic online,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,hormone specialist australia,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Clinic,hormone specialist australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,testosterone blood test,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,testosterone blood test,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone blood test men,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone blood test men,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,testosterone test australia,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,testosterone test australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,male hormone panel,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,male hormone panel,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,check testosterone levels,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,check testosterone levels,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone test melbourne,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone test melbourne,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone test sydney,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone test sydney,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone test brisbane,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,hormone test brisbane,Phrase,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,private hormone test,Exact,Enabled
Apex | Burst | High Intent | AU,Hormone Blood Test,private hormone test,Phrase,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,private blood test australia,Exact,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,private blood test australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,comprehensive blood panel,Exact,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,comprehensive blood panel,Phrase,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,full blood panel australia,Exact,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,full blood panel australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,private pathology australia,Exact,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,private pathology australia,Phrase,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,health check blood test men,Exact,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,health check blood test men,Phrase,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,book a blood test online,Exact,Enabled
Apex | Burst | High Intent | AU,Private Blood Panel,book a blood test online,Phrase,Enabled
